,n_period,threshold,cutoff,return,drawdown,sharpe,,Row Labels,Average of return,,,
493,120,2.4,0.8,0.698744387,4.789014523,-0.257808705,,,,,,
494,120,2.4,0.9,0.698744387,4.789014523,-0.257808705,,,,,,
1566,180,2.4,0.1,0.422204931,8.746171087,-0.262596227,,,,,,
1567,180,2.4,0.2,0.422204931,8.746171087,-0.262596227,,,,,,
1568,180,2.4,0.3,0.422204931,8.746171087,-0.262596227,,,,,,
1569,180,2.4,0.4,0.422204931,8.746171087,-0.262596227,,,,,,
1570,180,2.4,0.5,0.422204931,8.746171087,-0.262596227,,,,,,
1571,180,2.4,0.6,0.422204931,8.746171087,-0.262596227,,,,,,
1572,180,2.4,0.7,0.422204931,8.746171087,-0.262596227,,,,,,
1573,180,2.4,0.8,0.422204931,8.746171087,-0.262596227,,,,,,
1574,180,2.4,0.9,0.422204931,8.746171087,-0.262596227,,,,,,
2268,220,2.2,0.1,0.378441044,9.430092117,-0.263760484,,,,,,
2269,220,2.2,0.2,0.378441044,9.430092117,-0.263760484,,,,,,
2270,220,2.2,0.3,0.378441044,9.430092117,-0.263760484,,,,,,
2271,220,2.2,0.4,0.378441044,9.430092117,-0.263760484,,,,,,
2272,220,2.2,0.5,0.378441044,9.430092117,-0.263760484,,,,,,
2273,220,2.2,0.6,0.378441044,9.430092117,-0.263760484,,,,,,
2274,220,2.2,0.7,0.378441044,9.430092117,-0.263760484,,,,,,
2275,220,2.2,0.8,0.378441044,9.430092117,-0.263760484,,,,,,
2276,220,2.2,0.9,0.378441044,9.430092117,-0.263760484,,,,,,
684,130,2.6,0.1,0.735192286,4.614584811,-0.264699868,,,,,,
685,130,2.6,0.2,0.735192286,4.614584811,-0.264699868,,,,,,
686,130,2.6,0.3,0.735192286,4.614584811,-0.264699868,,,,,,
687,130,2.6,0.4,0.735192286,4.614584811,-0.264699868,,,,,,
688,130,2.6,0.5,0.735192286,4.614584811,-0.264699868,,,,,,
689,130,2.6,0.6,0.735192286,4.614584811,-0.264699868,,,,,,
690,130,2.6,0.7,0.735192286,4.614584811,-0.264699868,,,,,,
691,130,2.6,0.8,0.735192286,4.614584811,-0.264699868,,,,,,
692,130,2.6,0.9,0.735192286,4.614584811,-0.264699868,,,,,,
2997,260,2.3,0.1,0.312101748,9.432499746,-0.268025986,,,,,,
2998,260,2.3,0.2,0.312101748,9.432499746,-0.268025986,,,,,,
2999,260,2.3,0.3,0.312101748,9.432499746,-0.268025986,,,,,,
3000,260,2.3,0.4,0.312101748,9.432499746,-0.268025986,,,,,,
3001,260,2.3,0.5,0.312101748,9.432499746,-0.268025986,,,,,,
3002,260,2.3,0.6,0.312101748,9.432499746,-0.268025986,,,,,,
3003,260,2.3,0.7,0.312101748,9.432499746,-0.268025986,,,,,,
3004,260,2.3,0.8,0.312101748,9.432499746,-0.268025986,,,,,,
3005,260,2.3,0.9,0.312101748,9.432499746,-0.268025986,,,,,,
828,140,2.2,0.1,0.507951195,7.249289538,-0.271862267,,,,,,
829,140,2.2,0.2,0.507951195,7.249289538,-0.271862267,,,,,,
830,140,2.2,0.3,0.507951195,7.249289538,-0.271862267,,,,,,
831,140,2.2,0.4,0.507951195,7.249289538,-0.271862267,,,,,,
832,140,2.2,0.5,0.507951195,7.249289538,-0.271862267,,,,,,
833,140,2.2,0.6,0.507951195,7.249289538,-0.271862267,,,,,,
834,140,2.2,0.7,0.507951195,7.249289538,-0.271862267,,,,,,
835,140,2.2,0.8,0.507951195,7.249289538,-0.271862267,,,,,,
