<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.05.24	21:00:00	1.06305	1.06470	1.06216	1.06444	10450	6760407097	51
2017.05.24	22:00:00	1.06447	1.06461	1.06301	1.06371	5608	4251216499	51
2017.05.24	23:00:00	1.06371	1.06424	1.06264	1.06354	2829	1832319531	51
2017.05.25	00:00:00	1.06416	1.06466	1.06382	1.06450	1047	598600000	53
2017.05.25	01:00:00	1.06450	1.06460	1.06393	1.06432	1851	1055650000	53
2017.05.25	02:00:00	1.06432	1.06446	1.06380	1.06399	2628	1367800114	51
2017.05.25	03:00:00	1.06399	1.06410	1.06353	1.06387	3364	2220054144	51
2017.05.25	04:00:00	1.06387	1.06440	1.06320	1.06417	4121	2759099895	51
2017.05.25	05:00:00	1.06415	1.06632	1.06336	1.06614	4827	3229662514	51
2017.05.25	06:00:00	1.06613	1.06644	1.06501	1.06561	3780	2449300000	51
2017.05.25	07:00:00	1.06561	1.06600	1.06502	1.06530	3413	2642698973	52
2017.05.25	08:00:00	1.06530	1.06543	1.06370	1.06435	3893	2118950000	51
2017.05.25	09:00:00	1.06436	1.06449	1.06317	1.06430	4742	2928244020	51
2017.05.25	10:00:00	1.06433	1.06511	1.06389	1.06462	4770	3177211309	51
2017.05.25	11:00:00	1.06461	1.06480	1.06216	1.06266	6465	4349437521	51
2017.05.25	12:00:00	1.06265	1.06314	1.06223	1.06282	4752	3541759658	51
2017.05.25	13:00:00	1.06283	1.06331	1.06258	1.06287	4842	3303618408	51
2017.05.25	14:00:00	1.06286	1.06288	1.06166	1.06170	4312	3202678096	51
2017.05.25	15:00:00	1.06173	1.06206	1.06069	1.06151	5471	4488871659	51
2017.05.25	16:00:00	1.06151	1.06164	1.06018	1.06061	5875	4099396889	51
2017.05.25	17:00:00	1.06061	1.06138	1.05869	1.05957	6620	3771901327	51
2017.05.25	18:00:00	1.05954	1.06032	1.05945	1.05992	5897	4579206030	51
2017.05.25	19:00:00	1.05992	1.06036	1.05896	1.06013	4330	3530560813	51
2017.05.25	20:00:00	1.06012	1.06080	1.05977	1.06019	3503	2227764303	51
2017.05.25	21:00:00	1.06018	1.06141	1.05988	1.06132	2998	2253848457	51
2017.05.25	22:00:00	1.06129	1.06143	1.06078	1.06106	2495	2060466805	51
2017.05.25	23:00:00	1.06101	1.06148	1.06067	1.06099	1767	1233050000	51
2017.05.26	00:00:00	1.06110	1.06213	1.06083	1.06200	1209	619150000	51
2017.05.26	01:00:00	1.06203	1.06216	1.06119	1.06159	1563	847750000	53
2017.05.26	02:00:00	1.06159	1.06245	1.06152	1.06202	2609	1357400000	51
2017.05.26	03:00:00	1.06202	1.06202	1.06044	1.06046	4325	2778174247	51
2017.05.26	04:00:00	1.06044	1.06102	1.05949	1.05950	4721	3134022277	51
2017.05.26	05:00:00	1.05951	1.05960	1.05785	1.05819	5431	4648891623	51
2017.05.26	06:00:00	1.05822	1.05938	1.05807	1.05900	3680	2327943007	51
2017.05.26	07:00:00	1.05897	1.05946	1.05848	1.05854	3527	2155949351	51
2017.05.26	08:00:00	1.05858	1.05880	1.05778	1.05799	3555	2220594306	51
2017.05.26	09:00:00	1.05799	1.05863	1.05575	1.05606	5862	3176088488	51
2017.05.26	10:00:00	1.05606	1.05654	1.05535	1.05567	5128	3537302974	51
2017.05.26	11:00:00	1.05565	1.05583	1.05475	1.05563	6013	4552704367	51
2017.05.26	12:00:00	1.05563	1.05640	1.05525	1.05629	5108	4981079882	51
2017.05.26	13:00:00	1.05634	1.05747	1.05564	1.05622	4872	4764651997	51
2017.05.26	14:00:00	1.05622	1.05632	1.05380	1.05445	4952	2818897428	51
2017.05.26	15:00:00	1.05444	1.05489	1.05302	1.05447	6523	5211127325	51
2017.05.26	16:00:00	1.05447	1.05625	1.05445	1.05582	6868	4490065369	51
2017.05.26	17:00:00	1.05584	1.05639	1.05536	1.05617	6331	4266175219	51
2017.05.26	18:00:00	1.05619	1.05625	1.05420	1.05425	6173	4824514158	51
2017.05.26	19:00:00	1.05425	1.05485	1.05384	1.05398	5340	3725508971	51
2017.05.26	20:00:00	1.05394	1.05425	1.05320	1.05356	3418	2424902996	51
2017.05.26	21:00:00	1.05357	1.05389	1.05295	1.05314	2761	2215166891	51
2017.05.26	22:00:00	1.05313	1.05344	1.05279	1.05329	2795	2459638475	52
2017.05.26	23:00:00	1.05321	1.05383	1.05225	1.05317	2075	1107562587	51
2017.05.29	00:00:00	1.05239	1.05486	1.05239	1.05389	416	200350000	51
2017.05.29	01:00:00	1.05396	1.05446	1.05368	1.05400	2359	1385288434	53
2017.05.29	02:00:00	1.05399	1.05579	1.05399	1.05533	2251	989750000	51
2017.05.29	03:00:00	1.05533	1.05692	1.05513	1.05656	3562	1774750000	51
2017.05.29	04:00:00	1.05656	1.05679	1.05584	1.05660	3041	1602550000	51
