<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.03.24	1.02050	1.02691	1.01865	1.02186	144953	0	0
2020.03.25	1.02189	1.02998	1.01801	1.01818	131062	0	0
2020.03.26	1.01800	1.02204	1.01191	1.01617	132460	0	0
2020.03.27	1.01560	1.02478	1.01535	1.01973	131254	0	1
2020.03.30	1.01755	1.02779	1.01755	1.02504	103560	0	0
2020.03.31	1.02540	1.03339	1.01955	1.02814	119878	0	0
2020.04.01	1.02854	1.03487	1.02445	1.02574	102767	0	0
2020.04.02	1.02615	1.02721	1.02048	1.02380	98083	0	0
2020.04.03	1.02369	1.02736	1.02169	1.02188	89700	0	1
2020.04.06	1.02287	1.02705	1.02165	1.02587	90475	0	0
2020.04.07	1.02596	1.03505	1.02442	1.03175	92225	0	0
2020.04.08	1.03093	1.03716	1.02857	1.03666	81269	0	0
2020.04.09	1.03651	1.04389	1.03431	1.04144	80332	0	0
2020.04.10	1.04173	1.04622	1.04053	1.04135	25013	0	0
2020.04.13	1.04035	1.04878	1.04035	1.04791	52839	0	0
2020.04.14	1.04625	1.05661	1.04622	1.05487	71931	0	0
2020.04.15	1.05482	1.05707	1.05118	1.05304	72722	0	0
2020.04.16	1.05333	1.06091	1.05196	1.06020	90785	0	0
2020.04.17	1.06003	1.06217	1.05292	1.05410	77482	0	0
2020.04.20	1.04933	1.05545	1.04871	1.04897	69447	0	0
2020.04.21	1.04913	1.05512	1.04829	1.05237	84993	0	0
2020.04.22	1.05254	1.06252	1.05199	1.06179	70687	0	2
2020.04.23	1.06177	1.06403	1.05839	1.05988	72499	0	0
2020.04.24	1.05980	1.06328	1.05927	1.06232	54058	0	0
2020.04.27	1.05917	1.06875	1.05917	1.06875	56726	0	0
2020.04.28	1.06842	1.07502	1.06765	1.07128	61689	0	0
2020.04.29	1.07139	1.07211	1.06702	1.06872	54979	0	0
2020.04.30	1.06861	1.06937	1.06025	1.06257	67595	0	0
2020.05.01	1.06246	1.06334	1.05829	1.05838	53753	0	0
2020.05.04	1.05790	1.06435	1.05732	1.06144	63183	0	0
2020.05.05	1.06258	1.06573	1.06144	1.06229	55599	0	8
2020.05.06	1.06228	1.06642	1.06114	1.06457	58537	0	5
2020.05.07	1.06481	1.06984	1.06331	1.06672	60682	0	5
2020.05.08	1.06686	1.06873	1.06315	1.06392	51619	0	0
2020.05.11	1.06255	1.06856	1.06173	1.06683	62430	0	4
2020.05.12	1.06698	1.06797	1.06159	1.06457	65865	0	3
2020.05.13	1.06426	1.07791	1.06140	1.07630	81434	0	0
2020.05.14	1.07645	1.07759	1.07413	1.07659	72464	0	3
2020.05.15	1.07629	1.08245	1.07518	1.08057	64153	0	0
2020.05.18	1.08089	1.08296	1.07754	1.07971	52779	0	0
2020.05.19	1.07966	1.08276	1.07396	1.07566	60223	0	4
2020.05.20	1.07527	1.07662	1.07125	1.07333	57347	0	0
2020.05.21	1.07312	1.07498	1.07018	1.07218	59667	0	0
2020.05.22	1.07220	1.07320	1.06672	1.07140	51405	0	0
2020.05.25	1.07059	1.07355	1.07059	1.07214	35177	0	7
2020.05.26	1.07214	1.07389	1.06930	1.07325	58542	0	0
2020.05.27	1.07289	1.07383	1.06699	1.07015	73337	0	0
2020.05.28	1.06995	1.07139	1.06670	1.06806	70617	0	0
2020.05.29	1.06840	1.07527	1.06670	1.07442	78720	0	0
2020.06.01	1.07488	1.08153	1.07372	1.07972	73842	0	4
2020.06.02	1.07955	1.08797	1.07899	1.08241	82305	0	2
2020.06.03	1.08233	1.08594	1.07559	1.07744	90322	0	0
2020.06.04	1.07739	1.07896	1.07326	1.07401	91934	0	0
2020.06.05	1.07359	1.07697	1.06976	1.07064	88678	0	6
2020.06.08	1.07029	1.07178	1.06794	1.07009	71062	0	0
2020.06.09	1.06959	1.07044	1.06368	1.06843	81357	0	4
